customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CURL-6D1B3,Male,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.8,844.9,No
CNZT-CBC82,Female,1,No,No,47,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),51.11,2457.09,No
VLNJ-2ECA6,Male,0,No,No,31,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,62.4,1967.28,No
VOLL-318E1,Male,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.55,1459.13,No
WVHQ-2CB51,Male,0,Yes,No,33,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Mailed check,59.15,2009.23,No
ZLXR-CC357,Female,1,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.21,447.11,No
MBOE-BAEB5,Male,0,Yes,Yes,72,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),34.81,2550.82,No
ZKIX-517C3,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Mailed check,72.49,2466.77,No
MDRM-539AF,Male,0,Yes,No,35,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,54.4,1893.9,No
LEVQ-B14CD,Female,0,Yes,Yes,62,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,36.37,2242.01,No
LUVK-E43AA,Male,0,Yes,Yes,69,No,No phone service,DSL,Yes,No,No,No,No,Yes,One year,No,Electronic check,40.65,2708.27,No
